"REGIONE";"PROVINCIA";"NUM_REFERENDUM";"QUESITO";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SKBIANCHE";"NUMVOTISI";"NUMVOTINO"
"MOLISE";"CAMPOBASSO";"1";"Rimborso spese per consultazioni elettorali e referendarie";226753;110906;"61701";"32402";"5221";"41774";11471
"CAMPANIA";"CASERTA";"6";"Licenziamenti";688432;333476;"147923";"78806";"11586";"48000";84571
"CAMPANIA";"CASERTA";"1";"Rimborso spese per consultazioni elettorali e referendarie";688432;333476;"147789";"78729";"14280";"100514";28568
"CAMPANIA";"CASERTA";"2";"Elezione Camera dei Deputati (abolizione del voto di lista)";688432;333476;"148086";"78927";"15561";"105549";22395
"CAMPANIA";"CASERTA";"3";"Elezione del Consiglio Superiore della Magistratura";688432;333476;"147448";"78485";"20094";"94051";28212
"CAMPANIA";"CASERTA";"4";"Ordinamento giudiziario";688432;333476;"147553";"78559";"18497";"95158";29234
"CAMPANIA";"CASERTA";"7";"Trattenute associative e sindacali tramite gli enti previdenziali";688432;333476;"147632";"78623";"16036";"90082";36931
"CAMPANIA";"CASERTA";"5";"Incarichi extragiudiziari dei magistrati";688432;333476;"147628";"78599";"17138";"101080";24967
"SICILIA";"CATANIA";"4";"Ordinamento giudiziario";898426;432564;"234995";"120991";"24551";"150492";45592
"SICILIA";"CATANIA";"1";"Rimborso spese per consultazioni elettorali e referendarie";898426;432564;"235668";"121190";"19876";"157148";44613
"SICILIA";"CATANIA";"3";"Elezione del Consiglio Superiore della Magistratura";898426;432564;"235066";"120964";"27151";"147406";44724
"SICILIA";"CATANIA";"5";"Incarichi extragiudiziari dei magistrati";898426;432564;"235196";"121125";"22354";"159300";39799
"SICILIA";"CATANIA";"7";"Trattenute associative e sindacali tramite gli enti previdenziali";898426;432564;"235211";"121150";"21387";"144180";55920
"SICILIA";"CATANIA";"6";"Licenziamenti";898426;432564;"235445";"121229";"16150";"79316";128080
"SICILIA";"CATANIA";"2";"Elezione Camera dei Deputati (abolizione del voto di lista)";898426;432564;"235552";"121325";"21740";"160679";38612
"CALABRIA";"CATANZARO";"1";"Rimborso spese per consultazioni elettorali e referendarie";325485;158452;"70747";"38514";"7333";"47846";12691
"CALABRIA";"CATANZARO";"6";"Licenziamenti";325485;158452;"70917";"38566";"6060";"24689";37559
"CALABRIA";"CATANZARO";"2";"Elezione Camera dei Deputati (abolizione del voto di lista)";325485;158452;"71005";"38650";"7270";"51577";9267
"CALABRIA";"CATANZARO";"3";"Elezione del Consiglio Superiore della Magistratura";325485;158452;"70389";"38278";"10258";"44964";11905
"CALABRIA";"CATANZARO";"7";"Trattenute associative e sindacali tramite gli enti previdenziali";325485;158452;"70602";"38407";"8366";"42926";16332
"CALABRIA";"CATANZARO";"5";"Incarichi extragiudiziari dei magistrati";325485;158452;"70531";"38362";"8294";"48663";10653
"CALABRIA";"CATANZARO";"4";"Ordinamento giudiziario";325485;158452;"70456";"38324";"9150";"45510";12784
"ABRUZZO";"CHIETI";"7";"Trattenute associative e sindacali tramite gli enti previdenziali";359700;175256;"115553";"60499";"11686";"62751";36264
"ABRUZZO";"CHIETI";"4";"Ordinamento giudiziario";359700;175256;"114903";"60148";"14873";"68003";27670
"ABRUZZO";"CHIETI";"5";"Incarichi extragiudiziari dei magistrati";359700;175256;"115012";"60212";"13237";"72885";24713
"ABRUZZO";"CHIETI";"6";"Licenziamenti";359700;175256;"116346";"61008";"6885";"36282";70050
"ABRUZZO";"CHIETI";"3";"Elezione del Consiglio Superiore della Magistratura";359700;175256;"114762";"60071";"16591";"66484";27243
"ABRUZZO";"CHIETI";"1";"Rimborso spese per consultazioni elettorali e referendarie";359700;175256;"115499";"60557";"10875";"73260";27387
"ABRUZZO";"CHIETI";"2";"Elezione Camera dei Deputati (abolizione del voto di lista)";359700;175256;"115935";"60858";"11612";"80969";19485
"LOMBARDIA";"COMO";"1";"Rimborso spese per consultazioni elettorali e referendarie";456873;219398;"135959";"67709";"9752";"90816";31159
